requestedUrl,finalUrl,category,name,title,type,score
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","third-party-summary","Minimize third-party usage","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","network-requests","Network Requests","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","main-thread-tasks","Tasks","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","diagnostics","Diagnostics","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","metrics","Metrics","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://astro-git-master-ownwindows.vercel.app/bio/hans","https://astro-git-master-ownwindows.vercel.app/bio/hans","Performance","script-treemap-data","Script Treemap Data","informative","-1"
